Equiv_Stress_1	Equiv_Stress_2	Equiv_Stress_3	Equiv_strain_1	Equiv_strain_2	Equiv_strain_3
910.017	-932.48	466.74	-0.0393459	-36.2774	-1.18379e-19
-0.975751	0.64286	0.17857	-0.0219564	1.02173	-1.21768e-19
-1.07779	0.747375	0.126313	-0.00347939	1.00376	-1.25156e-19
-1.12212	0.792781	0.103609	0.0155137	0.982783	-1.28544e-19
-1.10054	0.77068	0.11466	0.0342521	0.963213	-1.28544e-19
-1.01111	0.679081	0.160459	0.0520037	0.949277	-1.3532e-19
-0.860029	0.524327	0.237837	0.0683049	0.943778	-1.3532e-19
-0.66527	0.324837	0.337581	0.0830528	0.947181	-1.38708e-19
-0.457215	0.111728	0.444136	0.0964383	0.957344	-1.40402e-19
-0.270371	-0.0796553	0.539828	0.108798	0.970336	-1.42096e-19
-0.128688	-0.22478	0.61239	0.12048	0.982304	-1.45485e-19
-0.0368765	-0.318822	0.659411	0.13176	0.991115	-1.45485e-19
0.0151787	-0.372142	0.686071	0.142824	0.996575	-1.48873e-19
0.0419485	-0.399562	0.699781	0.153781	0.999547	-1.50567e-19
0.0551366	-0.413071	0.706535	0.164685	1.00103	-1.48873e-19
0.06189	-0.419988	0.709994	0.175563	1.00176	-1.48873e-19
0.0658089	-0.424002	0.712001	0.186426	1.00215	-1.48873e-19
0.068443	-0.4267	0.71335	0.197278	1.00237	-1.48873e-19
0.070367	-0.428671	0.714336	0.208123	1.00252	-1.50567e-19
0.0717601	-0.430098	0.715049	0.218962	1.0026	-1.50567e-19
0.0726627	-0.431023	0.715511	0.229798	1.00262	-1.52261e-19
0.0730723	-0.431442	0.715721	0.240633	1.00257	-1.50567e-19
0.0729737	-0.431341	0.715671	0.251467	1.00245	-1.52261e-19
0.0723474	-0.4307	0.71535	0.262304	1.00225	-1.52261e-19
0.0711718	-0.429495	0.714748	0.273146	1.00196	-1.53955e-19
0.0694234	-0.427705	0.713852	0.283994	1.00157	-1.57343e-19
0.067077	-0.425301	0.712651	0.294852	1.00107	-1.59037e-19
0.0641059	-0.422258	0.711129	0.305721	1.00045	-1.57343e-19
0.0604818	-0.418546	0.709273	0.316605	0.999704	-1.59037e-19
0.0561747	-0.414134	0.707067	0.327505	0.998816	-1.62425e-19
0.0511531	-0.40899	0.704495	0.338426	0.997776	-1.67507e-19
0.0453836	-0.403081	0.70154	0.349369	0.996572	-1.67507e-19
0.038831	-0.396369	0.698185	0.360338	0.995193	-1.67507e-19
0.0314584	-0.388817	0.694409	0.371337	0.993624	-1.67507e-19
0.0232268	-0.380386	0.690193	0.382369	0.991852	-1.67507e-19
0.014095	-0.371032	0.685516	0.393437	0.989861	-1.67507e-19
0.00401953	-0.360712	0.680356	0.404547	0.987637	-1.67507e-19
-0.00704549	-0.349378	0.674689	0.415703	0.985163	-1.69201e-19
-0.0191486	-0.336981	0.66849	0.426909	0.982422	-1.7259e-19
-0.0323413	-0.323468	0.661734	0.438169	0.979394	-1.70896e-19
-0.0466779	-0.308783	0.654391	0.449491	0.976061	-1.74284e-19
-0.0622166	-0.292867	0.646433	0.460879	0.972401	-1.75978e-19
-0.0790189	-0.275656	0.637828	0.47234	0.968391	-1.75978e-19
-0.0971507	-0.257084	0.628542	0.48388	0.964008	-1.74284e-19
-0.116682	-0.237078	0.618539	0.495507	0.959226	-1.75978e-19
-0.137688	-0.215562	0.607781	0.507229	0.954016	-1.8106e-19
-0.16025	-0.192452	0.596226	0.519055	0.948349	-1.77672e-19
-0.184455	-0.167659	0.583829	0.530995	0.942192	-1.8106e-19
-0.210396	-0.141087	0.570544	0.543058	0.935509	-1.82754e-19
-0.238176	-0.112632	0.556316	0.555257	0.928262	-1.82754e-19
-0.267906	-0.0821809	0.54109	0.567604	0.920407	-1.82754e-19
-0.299705	-0.0496089	0.524804	0.580115	0.911898	-1.82754e-19
