Elastic_Modulus_1	Elastic_Modulus_2	Elastic_Modulus_3Poisson_ratio_12	Poisson_ratio_13	Poisson_ratio_23
28924.4	40700	40700	0.3	0.3	0.3
28547.6	40700	40700	0.3	0.3	0.3
28144.8	40700	40700	0.3	0.3	0.3
27714.1	40700	40700	0.3	0.3	0.3
27253.6	40700	40700	0.3	0.3	0.3
26761.3	40700	40700	0.3	0.3	0.3
26234.8	40700	40700	0.3	0.3	0.3
25671.2	40700	40700	0.3	0.3	0.3
25067.6	40700	40700	0.3	0.3	0.3
24420.4	40700	40700	0.3	0.3	0.3
23725.6	40700	40700	0.3	0.3	0.3
22978.3	40700	40700	0.3	0.3	0.3
22172.9	40700	40700	0.3	0.3	0.3
21302.5	40700	40700	0.3	0.3	0.3
