dHydro_stress	Plot_devia_stress	X1	Y1	X2	Y2	X3	Y3
-44.3752	59.0823	29.5411	51.1667	-59.0823	0.000104591	29.541	-51.1669
-44.8752	59.4244	29.7122	51.463	-59.4244	0.000105196	29.712	-51.4631
-45.3752	59.7655	29.8827	51.7584	-59.7655	0.0001058	29.8825	-51.7585
-45.8752	60.1055	30.0528	52.0529	-60.1055	0.000106402	30.0526	-52.053
-46.3752	60.4446	30.2223	52.3466	-60.4446	0.000107003	30.2221	-52.3467
-46.8752	60.7827	30.3914	52.6394	-60.7827	0.000107601	30.3912	-52.6395
-47.3752	61.1198	30.5599	52.9313	-61.1198	0.000108198	30.5597	-52.9314
-47.8752	61.456	30.728	53.2225	-61.456	0.000108793	30.7278	-53.2226
-48.3752	61.7912	30.8956	53.5127	-61.7912	0.000109386	30.8954	-53.5128
-48.8752	62.1254	31.0627	53.8022	-62.1254	0.000109978	31.0625	-53.8023
-49.3752	62.4587	31.2293	54.0908	-62.4587	0.000110568	31.2292	-54.0909
-49.8752	62.791	31.3955	54.3786	-62.791	0.000111156	31.3953	-54.3787
-50.3752	63.1224	31.5612	54.6656	-63.1224	0.000111743	31.561	-54.6658
-50.8752	63.4529	31.7265	54.9519	-63.4529	0.000112328	31.7263	-54.952
-51.3752	63.7825	31.8913	55.2373	-63.7825	0.000112911	31.8911	-55.2374
-51.8752	64.1112	32.0556	55.5219	-64.1112	0.000113493	32.0554	-55.522
-52.3752	64.4389	32.2195	55.8058	-64.4389	0.000114073	32.2193	-55.8059
-52.8752	64.7658	32.3829	56.0888	-64.7658	0.000114652	32.3827	-56.089
-53.3752	65.0918	32.5459	56.3712	-65.0918	0.000115229	32.5457	-56.3713
-53.8752	65.4169	32.7085	56.6527	-65.4169	0.000115805	32.7083	-56.6528
-54.3752	65.7411	32.8706	56.9335	-65.7411	0.000116379	32.8704	-56.9336
-54.8752	66.0645	33.0323	57.2135	-66.0645	0.000116951	33.0321	-57.2137
