dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
0.000228081	0.285896	0.142948	0.247593	-0.285896	5.06109e-07	0.142947	-0.247594
0.000218081	0.288366	0.144183	0.249732	-0.288366	5.10481e-07	0.144182	-0.249733
0.000208081	0.290815	0.145407	0.251853	-0.290815	5.14817e-07	0.145407	-0.251854
0.000198081	0.293244	0.146622	0.253956	-0.293244	5.19116e-07	0.146621	-0.253957
0.000188081	0.295653	0.147826	0.256043	-0.295653	5.23381e-07	0.147825	-0.256043
0.000178081	0.298042	0.149021	0.258112	-0.298042	5.27611e-07	0.14902	-0.258113
0.000168081	0.300413	0.150206	0.260165	-0.300413	5.31808e-07	0.150206	-0.260166
0.000158081	0.302765	0.151383	0.262202	-0.302765	5.35972e-07	0.151382	-0.262203
0.000148081	0.305099	0.15255	0.264224	-0.305099	5.40104e-07	0.152549	-0.264224
0.000138081	0.307416	0.153708	0.26623	-0.307416	5.44205e-07	0.153707	-0.266231
0.000128081	0.309715	0.154858	0.268221	-0.309715	5.48276e-07	0.154857	-0.268222
0.000118081	0.311998	0.155999	0.270198	-0.311998	5.52316e-07	0.155998	-0.270199
0.000108081	0.314264	0.157132	0.272161	-0.314264	5.56328e-07	0.157131	-0.272161
9.80808e-05	0.316514	0.158257	0.274109	-0.316514	5.60311e-07	0.158256	-0.27411
8.80808e-05	0.318748	0.159374	0.276044	-0.318748	5.64266e-07	0.159373	-0.276044
7.80808e-05	0.320967	0.160483	0.277965	-0.320967	5.68193e-07	0.160482	-0.277966
6.80808e-05	0.32317	0.161585	0.279874	-0.32317	5.72094e-07	0.161584	-0.279874
5.80808e-05	0.325359	0.162679	0.281769	-0.325359	5.75969e-07	0.162678	-0.28177
4.80808e-05	0.327533	0.163767	0.283652	-0.327533	5.79818e-07	0.163766	-0.283653
3.80808e-05	0.329693	0.164847	0.285523	-0.329693	5.83641e-07	0.164846	-0.285523
2.80808e-05	0.331839	0.165919	0.287381	-0.331839	5.8744e-07	0.165918	-0.287382
1.80808e-05	0.333971	0.166986	0.289228	-0.333971	5.91215e-07	0.166985	-0.289228
8.08081e-06	0.33609	0.168045	0.291062	-0.33609	5.94965e-07	0.168044	-0.291063
-1.91919e-06	0.338195	0.169098	0.292886	-0.338195	5.98693e-07	0.169097	-0.292886
-1.19192e-05	0.340288	0.170144	0.294698	-0.340288	6.02397e-07	0.170143	-0.294699
-2.19192e-05	0.342368	0.171184	0.296499	-0.342368	6.06079e-07	0.171183	-0.2965
-3.19192e-05	0.344435	0.172218	0.29829	-0.344435	6.09739e-07	0.172217	-0.29829
-4.19192e-05	0.34649	0.173245	0.30007	-0.34649	6.13377e-07	0.173244	-0.30007
-5.19192e-05	0.348534	0.174267	0.301839	-0.348534	6.16994e-07	0.174266	-0.301839
-6.19192e-05	0.350565	0.175282	0.303598	-0.350565	6.20589e-07	0.175281	-0.303599
-7.19192e-05	0.352584	0.176292	0.305347	-0.352584	6.24165e-07	0.176291	-0.305348
-8.19192e-05	0.354592	0.177296	0.307086	-0.354592	6.2772e-07	0.177295	-0.307087
-9.19192e-05	0.356589	0.178295	0.308815	-0.356589	6.31255e-07	0.178294	-0.308816
-0.000101919	0.358575	0.179288	0.310535	-0.358575	6.3477e-07	0.179286	-0.310536
-0.000111919	0.36055	0.180275	0.312246	-0.36055	6.38266e-07	0.180274	-0.312246
-0.000121919	0.362514	0.181257	0.313947	-0.362514	6.41743e-07	0.181256	-0.313947
-0.000131919	0.364468	0.182234	0.315639	-0.364468	6.45202e-07	0.182233	-0.315639
-0.000141919	0.366411	0.183206	0.317322	-0.366411	6.48642e-07	0.183205	-0.317322
-0.000151919	0.368345	0.184172	0.318996	-0.368345	6.52064e-07	0.184171	-0.318996
-0.000161919	0.370268	0.185134	0.320661	-0.370268	6.55469e-07	0.185133	-0.320662
-0.000171919	0.372181	0.18609	0.322318	-0.372181	6.58855e-07	0.186089	-0.322319
-0.000181919	0.374084	0.187042	0.323966	-0.374084	6.62225e-07	0.187041	-0.323967
-0.000191919	0.375978	0.187989	0.325607	-0.375978	6.65578e-07	0.187988	-0.325607
-0.000201919	0.377863	0.188931	0.327239	-0.377863	6.68914e-07	0.18893	-0.327239
-0.000211919	0.379738	0.189869	0.328863	-0.379738	6.72233e-07	0.189868	-0.328863
-0.000221919	0.381604	0.190802	0.330479	-0.381604	6.75536e-07	0.190801	-0.330479
-0.000231919	0.383461	0.19173	0.332087	-0.383461	6.78824e-07	0.191729	-0.332087
-0.000241919	0.385309	0.192654	0.333687	-0.385309	6.82095e-07	0.192653	-0.333688
-0.000251919	0.387148	0.193574	0.33528	-0.387148	6.85351e-07	0.193573	-0.335281
-0.000261919	0.388978	0.194489	0.336865	-0.388978	6.88592e-07	0.194488	-0.336866
-0.000271919	0.390801	0.1954	0.338443	-0.390801	6.91817e-07	0.195399	-0.338444
-0.000281919	0.392614	0.196307	0.340014	-0.392614	6.95028e-07	0.196306	-0.340015
-0.000291919	0.39442	0.19721	0.341577	-0.39442	6.98224e-07	0.197209	-0.341578
-0.000301919	0.396217	0.198108	0.343134	-0.396217	7.01405e-07	0.198107	-0.343134
-0.000311919	0.398006	0.199003	0.344683	-0.398006	7.04572e-07	0.199002	-0.344684
-0.000321919	0.399787	0.199893	0.346226	-0.399787	7.07725e-07	0.199892	-0.346226
-0.000331919	0.40156	0.20078	0.347761	-0.40156	7.10864e-07	0.200779	-0.347762
